,Name of movie,vote,gross,Genre,star,Certificate
16,The Dark Knight Rises,"1,764,288",$448.14M," Action, Drama, Thriller            ","['Christian Bale, ', 'Tom Hardy, ', 'Anne Hathaway, ', 'Gary Oldman', '']",UA
17,Avengers: Endgame,"1,203,203",$858.37M," Action, Adventure, Drama            ","['    Stars:', 'Robert Downey Jr., ', 'Chris Evans, ', 'Mark Ruffalo, ', 'Chris Hemsworth']",UA
18,Spider-Man: Into the Spider-Verse,"617,723",$190.24M," Animation, Action, Adventure            ","['| ', '    Stars:', 'Shameik Moore, ', 'Jake Johnson, ', 'Hailee Steinfeld, ']",U
19,Raiders of the Lost Ark,"1,007,793",$248.16M," Action, Adventure            ","['Harrison Ford, ', 'Karen Allen, ', 'Paul Freeman, ', 'John Rhys-Davies', '']",A
20,Aliens,"739,374",$85.16M," Action, Adventure, Sci-Fi            ","['Sigourney Weaver, ', 'Michael Biehn, ', 'Carrie Henn, ', 'Paul Reiser', '']",U
21,Oldeuboi,"604,443",$0.71M," Action, Drama, Mystery            ","['Choi Min-sik, ', 'Yoo Ji-tae, ', 'Kang Hye-jeong, ', 'Kim Byeong-Ok', '']",A
22,Avengers: Infinity War,"1,144,915",$678.82M," Action, Adventure, Sci-Fi            ","['    Stars:', 'Robert Downey Jr., ', 'Chris Hemsworth, ', 'Mark Ruffalo, ', 'Chris Evans']",UA
23,Kaithi,"37,004",_," Action, Adventure, Crime            ","['Karthi, ', 'Narain, ', 'Arjun Das, ', 'George Maryan', '']",UA
24,Asuran,"31,663",_," Action, Drama            ","['Dhanush, ', 'Manju Warrier, ', 'Prakash Raj, ', 'Pasupathy', '']",UA
25,Top Gun: Maverick,"619,462",$718.73M," Action, Drama            ","['Tom Cruise, ', 'Jennifer Connelly, ', 'Miles Teller, ', 'Val Kilmer', '']",UA
26,Heat,"686,781",$67.44M," Action, Crime, Drama            ","['Al Pacino, ', 'Robert De Niro, ', 'Val Kilmer, ', 'Jon Voight', '']",A
27,North by Northwest,"337,300",$13.28M," Action, Adventure, Mystery            ","['Cary Grant, ', 'Eva Marie Saint, ', 'James Mason, ', 'Jessie Royce Landis', '']",U
28,Star Wars: Episode VI - Return of the Jedi,"1,087,899",$309.13M," Action, Adventure, Fantasy            ","['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams', '']",U
29,Mononoke-hime,"412,469",$2.38M," Animation, Action, Adventure            ","['Yôji Matsuda, ', 'Yuriko Ishida, ', 'Yûko Tanaka, ', 'Billy Crudup', '']",U
30,Dangal,"200,047",$12.39M," Action, Biography, Drama            ","['Aamir Khan, ', 'Sakshi Tanwar, ', 'Fatima Sana Shaikh, ', 'Sanya Malhotra', '']",U
31,Kantara,"97,285",_," Action, Adventure, Drama            ","['Rishab Shetty, ', 'Kishore Kumar G., ', 'Achyuth Kumar, ', 'Sapthami Gowda', '']",UA
32,Vikram,"65,180",_," Action, Crime, Thriller            ","['Kamal Haasan, ', 'Vijay Sethupathi, ', 'Fahadh Faasil, ', 'Narain', '']",UA
33,K.G.F: Chapter 2,"141,531",$6.60M," Action, Crime, Drama            ","['Yash, ', 'Sanjay Dutt, ', 'Raveena Tandon, ', 'Srinidhi Shetty', '']",UA
34,Shershaah,"125,850",_," Action, Biography, Drama            ","['Sidharth Malhotra, ', 'Kiara Advani, ', 'Shiv Panditt, ', 'Pranay Pachauri', '']",UA
35,Ratsasan,"47,664",_," Action, Crime, Drama            ","['Vishnu Vishal, ', 'Amala Paul, ', 'Radha Ravi, ', 'Sangili Murugan', '']",UA
36,Batman Begins,"1,523,851",$206.85M," Action, Crime, Drama            ","['Christian Bale, ', 'Michael Caine, ', 'Ken Watanabe, ', 'Liam Neeson', '']",UA
37,Spider-Man: No Way Home,"821,069",$804.75M," Action, Adventure, Fantasy            ","['Tom Holland, ', 'Zendaya, ', 'Benedict Cumberbatch, ', 'Jacob Batalon', '']",UA
38,Jurassic Park,"1,027,365",$402.45M," Action, Adventure, Sci-Fi            ","['Sam Neill, ', 'Laura Dern, ', 'Jeff Goldblum, ', 'Richard Attenborough', '']",UA
39,1917,"634,919",$159.23M," Action, Drama, War            ","['Dean-Charles Chapman, ', 'George MacKay, ', 'Daniel Mays, ', 'Colin Firth', '']",R
40,Indiana Jones and the Last Crusade,"787,448",$197.17M," Action, Adventure            ","['Harrison Ford, ', 'Sean Connery, ', 'Alison Doody, ', 'Denholm Elliott', '']",U
41,Kill Bill: Vol. 1,"1,152,007",$70.10M," Action, Crime, Thriller            ","['Uma Thurman, ', 'David Carradine, ', 'Daryl Hannah, ', 'Michael Madsen', '']",A
42,V for Vendetta,"1,149,225",$70.51M," Action, Drama, Sci-Fi            ","['Hugo Weaving, ', 'Natalie Portman, ', 'Rupert Graves, ', 'Stephen Rea', '']",UA
43,Die Hard,"908,728",$83.01M," Action, Thriller            ","['Bruce Willis, ', 'Alan Rickman, ', 'Bonnie Bedelia, ', 'Reginald VelJohnson', '']",A
44,Ran,"130,917",$4.14M," Action, Drama, War            ","['Tatsuya Nakadai, ', 'Akira Terao, ', 'Jinpachi Nezu, ', 'Daisuke Ryû', '']",Not Rated
45,Kimetsu no Yaiba: Mugen Ressha-Hen,"66,771",$47.70M," Animation, Action, Adventure            ","['Natsuki Hanae, ', 'Akari Kitô, ', 'Yoshitsugu Matsuoka, ', 'Hiro Shimono', '']",UA
46,Gangs of Wasseypur,"100,142",_," Action, Comedy, Crime            ","['Manoj Bajpayee, ', 'Nawazuddin Siddiqui, ', 'Tigmanshu Dhulia, ', 'Richa Chadha', '']",A
47,Yôjinbô,"127,188",_," Action, Drama, Thriller            ","['Toshirô Mifune, ', 'Eijirô Tôno, ', 'Tatsuya Nakadai, ', 'Yôko Tsukasa', '']",U
48,K.G.F: Chapter 1,"92,933",_," Action, Crime, Drama            ","['Yash, ', 'Srinidhi Shetty, ', 'Ramachandra Raju, ', 'Archana Jois', '']",UA
49,Baahubali 2: The Conclusion,"108,472",$20.19M," Action, Drama            ","['Prabhas, ', 'Rana Daggubati, ', 'Anushka Shetty, ', 'Tamannaah Bhatia', '']",UA
